,postal_code,Distance GP,Within 1 km GP,Within 3 km GP,Within 5 km GP,Distance Hospital,Within 5 km Hospital,Within 10 km Hospital,Within 20 km Hospital,Distance Supermarket,Within 1 km Supermarket,Within 3 km Supermarket,Within 5 km Supermarket,Distance Department Store,Within 5 km Department Store,Within 10 km Department Store,Within 20 km Department Store,Distance Restaurant,Within 1 km Restaurant,Within 3 km Restaurant,Within 5 km Restaurant,Distance Day Care,Within 1 km Day Care,Within 3 km Day Care,Within 5 km Day Care,Distance School,Within 1 km School,Within 3 km School,Within 5 km School
243,5031301,0.6,2.8,15.4,29.9,2.5,1.0,7.0,25.0,0.3,3.0,20.5,39.4,2.0,4.1,19.3,52.7,0.3,6.7,148.8,188.4,0.5,5.8,45.0,105.1,0.5,2.5,17.1,47.3
244,5031302,0.6,2.6,16.0,29.8,2.1,1.0,7.0,25.0,0.4,3.0,20.9,38.3,2.0,3.6,19.1,52.8,0.6,5.5,149.2,185.1,0.2,6.6,49.4,102.0,0.2,3.6,18.1,46.1
245,5031303,0.5,3.3,17.1,29.5,2.2,1.0,7.0,25.5,0.2,4.0,22.1,39.8,1.5,4.2,18.8,53.9,0.2,30.0,150.5,190.2,0.5,8.3,53.3,103.7,0.4,4.2,20.1,47.5
246,5031304,0.4,3.2,19.0,27.2,1.6,1.0,7.0,25.3,0.4,5.7,23.9,36.3,1.4,3.0,17.3,53.1,0.4,20.4,150.8,182.7,0.5,9.5,57.4,91.9,0.2,4.6,23.2,43.5
247,5031305,0.4,3.6,18.3,28.1,1.8,1.0,7.0,25.9,0.4,5.6,23.2,37.7,1.2,3.2,18.0,54.8,0.2,61.9,151.5,186.0,0.2,9.4,56.0,95.2,0.3,4.2,21.3,44.7
248,5031306,0.3,2.7,19.3,24.1,1.3,1.0,6.5,25.9,0.3,6.7,24.5,31.4,1.0,2.0,17.0,54.7,0.2,17.9,150.5,168.4,0.2,8.1,60.8,78.3,0.2,4.5,24.3,36.6
249,5031307,0.4,3.2,19.0,24.7,1.6,1.0,7.0,26.0,0.4,6.3,24.5,31.4,1.1,2.0,17.3,55.0,0.2,51.7,152.1,172.5,0.2,9.2,58.9,82.0,0.6,3.8,23.1,38.4
250,5031400,0.2,3.0,12.1,28.5,2.6,1.0,7.0,24.9,0.3,2.0,18.2,37.2,2.7,3.7,19.6,50.4,0.2,2.3,142.7,182.2,0.2,5.4,36.9,96.9,0.8,1.6,15.2,42.6
251,5031401,0.3,3.0,15.1,29.0,2.2,1.0,7.0,25.0,0.3,2.7,19.9,36.5,2.4,3.5,19.4,52.0,0.3,3.1,145.6,182.5,0.2,5.4,43.6,99.3,0.6,3.1,17.4,43.4
252,5031402,0.8,1.9,14.4,26.4,2.3,1.0,6.6,25.0,0.9,0.8,19.3,34.8,2.4,3.0,17.5,51.2,0.8,1.8,144.8,176.8,0.5,3.3,41.9,86.2,0.8,1.4,15.9,37.4
253,5031403,0.7,2.0,17.3,26.0,1.9,1.0,6.3,25.0,0.8,1.1,21.7,34.8,1.7,2.3,16.8,53.0,0.8,2.8,147.7,175.5,0.9,3.4,51.3,84.2,0.7,2.7,19.3,37.9
254,5031404,0.6,1.7,17.7,25.4,0.9,1.0,5.5,24.9,0.9,1.0,23.0,31.3,1.6,2.0,15.5,53.2,0.9,1.9,148.9,163.5,0.4,2.3,52.4,77.9,1.0,1.1,21.6,35.1
255,5031405,0.4,2.6,11.1,28.2,2.7,1.0,7.1,24.2,0.8,1.0,14.6,38.4,3.0,4.2,19.5,50.1,0.7,1.7,109.4,184.7,0.5,4.3,34.1,91.2,0.5,1.3,14.1,39.8
256,5031406,0.6,1.7,11.4,29.6,2.5,1.0,7.0,23.2,1.0,0.5,10.2,38.1,3.4,4.7,18.1,48.8,1.0,0.7,44.0,189.0,0.4,4.0,30.4,93.9,0.4,2.2,12.8,41.4
257,5031407,0.7,1.7,16.9,25.0,0.9,1.0,5.0,24.2,0.9,0.9,22.0,30.1,1.6,2.0,14.2,53.2,0.8,1.9,146.3,162.2,0.6,2.4,49.4,76.8,1.1,0.3,21.3,32.6
258,5032201,0.8,1.0,7.1,17.8,2.7,1.0,2.2,26.0,0.7,1.2,10.2,24.5,2.5,2.0,10.7,53.7,0.7,2.0,14.4,144.4,1.0,1.0,22.6,53.5,0.5,2.8,10.1,23.3
259,5032202,0.5,0.9,7.0,18.0,2.7,1.0,2.0,25.2,0.5,1.2,10.7,24.5,2.5,2.0,10.7,54.0,0.5,1.9,15.7,146.0,0.8,1.5,23.3,54.5,0.4,2.8,10.3,23.4
260,5032203,0.5,2.3,8.2,19.6,2.6,1.0,2.6,25.0,0.5,1.6,12.1,25.4,2.4,2.0,11.7,55.5,0.5,2.2,19.1,150.7,0.3,4.0,24.9,58.7,0.6,2.9,11.1,25.3
261,5032204,0.6,1.2,6.9,16.9,2.9,1.0,2.0,25.1,0.5,1.0,8.7,23.2,2.7,2.0,10.9,53.4,0.5,2.0,11.0,134.3,0.4,2.5,21.1,48.9,0.4,3.0,9.4,21.8
262,5032301,0.2,2.0,10.2,21.1,2.9,1.0,5.3,25.0,0.4,1.2,13.6,27.0,2.0,2.0,12.8,56.9,0.3,1.0,30.7,155.9,0.2,6.8,28.8,65.9,0.6,2.3,13.4,30.1
263,5032302,0.6,1.8,10.1,21.1,3.0,1.0,5.3,25.0,0.4,1.1,13.4,27.0,2.0,2.0,11.5,56.4,0.4,1.0,28.9,155.3,0.5,5.5,27.6,65.8,0.6,2.2,13.1,30.1
264,5032303,0.6,1.9,8.3,20.3,3.4,1.0,2.8,25.0,0.6,1.0,12.6,26.3,2.5,2.0,11.5,56.1,0.5,1.0,19.8,152.4,0.3,4.8,22.4,58.3,0.4,2.1,10.5,25.6
265,5032304,0.8,1.6,8.7,20.9,3.3,1.0,3.2,25.0,0.5,1.0,12.9,26.7,2.3,2.0,11.0,56.0,0.5,1.0,21.1,153.2,0.4,3.0,22.1,60.2,0.4,2.0,10.5,26.7
266,5032305,0.9,1.0,7.1,19.2,3.6,1.0,2.5,25.0,0.8,1.0,11.6,25.4,2.6,2.0,10.7,55.1,0.7,1.0,17.9,150.8,0.5,2.8,19.1,54.4,0.5,2.0,9.3,23.0
267,5032400,0.8,2.6,19.4,22.2,1.5,1.0,4.6,25.3,0.3,7.6,25.0,28.1,0.5,2.0,14.3,54.4,0.2,15.9,149.6,159.2,0.2,4.9,54.4,72.4,0.2,1.8,22.7,31.6
268,5032401,0.3,2.8,18.7,22.1,1.4,1.0,4.5,25.0,0.2,8.5,24.2,28.2,0.3,2.0,13.9,55.1,0.2,14.9,147.6,160.4,0.3,7.0,54.6,72.7,0.7,2.1,24.0,32.6
269,5032403,0.3,2.0,18.4,22.0,1.7,1.0,4.4,25.0,0.4,7.2,24.3,28.1,0.9,2.0,14.1,55.2,0.3,14.5,148.9,158.6,0.2,4.8,51.9,72.0,0.9,1.6,21.3,31.0
270,5032404,0.2,2.0,13.8,22.0,1.7,1.0,5.3,25.0,0.6,4.5,19.9,27.4,0.7,2.0,10.8,55.9,0.6,5.5,114.5,159.7,0.2,6.9,38.5,70.2,0.3,1.5,17.1,31.6
271,5032405,0.3,2.4,15.0,22.1,1.7,1.0,5.3,25.0,0.4,5.7,21.9,27.6,0.7,2.0,11.7,55.9,0.5,8.9,130.9,159.8,0.3,7.0,43.0,70.4,0.6,2.1,18.8,31.6
272,5032406,0.7,2.1,14.1,22.0,2.1,1.0,5.5,25.0,0.3,3.8,20.7,27.1,1.2,2.0,11.3,56.1,0.7,6.5,124.0,158.2,0.3,7.7,41.1,69.2,0.6,1.9,17.8,31.0
273,5032407,0.8,1.8,13.2,22.0,2.2,1.0,5.2,25.0,0.3,2.6,19.5,27.0,1.3,2.0,10.4,55.8,0.8,4.7,121.5,158.0,0.4,6.7,38.2,68.3,0.4,1.5,16.9,30.0
274,5032501,0.3,1.8,15.2,23.2,0.9,1.0,4.5,25.0,0.4,1.9,18.2,28.1,1.2,2.0,12.0,53.0,0.4,2.9,83.8,161.0,0.4,3.0,42.2,73.3,0.4,1.2,19.0,30.8
275,5032502,0.6,2.2,17.8,23.5,0.7,1.0,4.2,25.0,0.5,3.8,23.3,28.3,0.8,2.0,13.3,53.3,0.5,5.2,144.6,160.5,0.7,6.1,50.6,74.5,0.9,1.0,22.8,33.5
276,5032503,0.6,2.4,13.8,22.1,1.3,1.0,4.9,25.0,0.5,2.4,18.1,27.0,1.1,2.0,11.5,53.9,0.3,3.0,72.1,160.2,0.4,4.5,41.7,71.4,0.8,1.5,19.4,30.3
277,5032504,0.3,1.2,11.1,22.0,1.6,1.0,5.0,25.0,0.8,1.2,14.1,27.0,1.6,2.0,11.0,54.0,0.6,1.1,30.6,158.8,0.4,5.2,35.0,69.4,0.5,1.7,17.9,30.0
278,5032505,0.8,2.6,15.2,22.5,1.1,1.0,4.9,25.0,0.6,3.2,20.3,27.0,0.9,2.0,12.6,53.6,0.5,4.0,108.2,160.0,0.5,3.3,42.6,70.9,1.0,0.5,19.3,30.0
279,5032506,0.8,1.5,12.5,21.3,1.5,1.0,5.0,25.0,0.9,1.3,16.7,27.0,1.3,2.0,11.0,54.0,0.3,2.0,52.9,159.1,0.2,2.3,37.3,70.1,1.1,0.6,17.1,30.0
280,5032507,0.7,0.9,10.6,21.2,1.9,1.0,4.5,25.0,0.6,1.0,13.9,26.7,1.8,2.0,10.8,53.8,0.8,0.8,27.8,155.8,0.5,4.4,30.8,66.3,0.6,1.8,14.4,28.8
281,5032508,0.6,1.0,11.0,21.0,1.8,1.0,5.0,25.0,0.3,1.2,14.0,27.0,1.5,2.0,10.7,54.2,0.6,1.5,31.9,157.7,0.5,3.7,32.7,68.2,0.3,1.7,15.4,29.4
282,5032509,1.3,0.3,8.3,18.5,2.6,1.0,3.0,25.6,1.0,0.4,10.6,24.3,2.4,2.0,10.5,53.5,1.2,0.3,16.2,140.9,1.3,0.7,23.8,55.2,1.0,0.4,10.8,24.0
283,5032700,1.1,0.4,17.0,22.0,1.9,1.0,4.1,25.5,0.8,2.6,24.3,28.0,1.3,2.0,14.7,57.0,0.3,12.3,150.9,158.5,1.0,1.3,50.6,72.2,1.2,0.2,17.6,31.0
284,5032800,0.7,1.9,11.8,22.2,2.7,1.0,5.0,25.6,0.8,1.8,21.3,29.1,1.2,2.5,16.5,55.8,0.8,8.0,145.3,159.7,0.2,5.0,40.5,72.3,0.8,1.8,16.6,31.7
