,postal_code,Weighted_Average_Age,Standard_Deviation_Age,prop_0-14,prop_15-24,prop_25-44,prop_45-64,prop_65+,prop_university,worker,prop_women,pop_density,livability_score,Aid,Income,single_family_housing
264,5032303,41.76767676767677,19.834710052970774,0.11363636363636363,0.11868686868686869,0.30808080808080807,0.2904040404040404,0.1691919191919192,0.2828282828282828,0.14141414141414144,0.4696969696969697,0.2561709076064771,8.009469575460784,0.07017543859649122,0.14420062695924765,0.56
265,5032304,43.5875486381323,21.26600159800575,0.12062256809338522,0.11673151750972763,0.2529182879377432,0.25680933852140075,0.2490272373540856,0.25680933852140075,0.14396887159533078,0.48638132295719844,0.26833582800381006,8.043206459245734,0.04678362573099415,0.12931034482758622,0.58
266,5032305,45.583333333333336,20.87847770802079,0.11805555555555555,0.08333333333333333,0.2152777777777778,0.3194444444444444,0.2569444444444444,0.2916666666666667,0.16666666666666663,0.4722222222222222,0.21673697101646483,8.141209562220503,0.017543859649122806,0.1724137931034483,0.62
267,5032400,37.08974358974359,21.74510107557663,0.2222222222222222,0.1111111111111111,0.2948717948717949,0.2222222222222222,0.15384615384615385,0.09401709401709402,0.3162393162393162,0.5384615384615384,0.3174581575724588,7.401879651163771,0.07017543859649122,0.048589341692789965,0.01
268,5032401,34.440104166666664,17.159987252010104,0.14322916666666666,0.140625,0.4947916666666667,0.14583333333333334,0.07552083333333333,0.4270833333333333,0.21875,0.484375,0.47358824329840793,7.653265754518124,0.05847953216374269,0.16222570532915365,0.02
269,5032403,40.041916167664674,20.627199082476434,0.0658682634730539,0.2754491017964072,0.2844311377245509,0.15269461077844312,0.2245508982035928,0.3652694610778443,0.16167664670658688,0.45808383233532934,0.37850047625527283,7.757431156230371,0.03508771929824561,0.07053291536050157,0.0
270,5032404,51.239583333333336,20.34481137357604,0.046875,0.125,0.17708333333333334,0.22395833333333334,0.4270833333333333,0.25,0.16666666666666663,0.5,0.2616682541842428,8.054001566533998,0.017543859649122806,0.12695924764890282,0.0
271,5032405,36.841010401188704,19.753006358463878,0.06983655274888559,0.3387815750371471,0.2689450222882615,0.16047548291233285,0.16196136701337296,0.45170876671619614,0.25705794947994054,0.4294205052005943,0.2855082324125731,7.948635405746342,0.05847953216374269,0.11363636363636365,0.1
272,5032406,34.33671399594321,17.75333042930241,0.12981744421906694,0.2129817444219067,0.40973630831643004,0.1663286004056795,0.08113590263691683,0.3935091277890467,0.22920892494929002,0.42190669371196754,0.6091713158252824,7.625961557143091,0.05847953216374269,0.11128526645768025,0.0
273,5032407,37.660919540229884,21.800403589874485,0.16666666666666666,0.21839080459770116,0.20402298850574713,0.23850574712643677,0.16954022988505746,0.15517241379310345,0.25287356321839083,0.4885057471264368,0.2248197033610015,7.646922634867165,0.05847953216374269,0.051724137931034496,0.56
